content,score
Parah ga jelas aflikasi ini dulu baik baik aja makin kesini makin ga jelas,1
Bagus bgt buat chetan sama ayg,5
Bagussssss bgttttt,5
Ss,5
Tolong dengan sangattt...kembalikan versi whatsapp swap...karena terlalu ribet kalo harus di klak klik dulu..kelamaan woyyyelahhh,1
Sangat membantu Berikan yg terbaik Nanti aku kasi 5bintang,2
Tolong wa nya kayak dulu lagi mamang Vidio nya pas di masukin status jangan burem Ini mah burem kayak burik gitu,5
Good job,5
Bagus,5
kapan nihh whatsapp buatt fitur filter buat foto sama vc wakakak,4
Ok juga,5
Apk no 1 sih,5
min knp ko gak bisa masuk atau login ke wa no saya,5
Good,5
Sangat bagus,5
Sangat menyukainya,5
Tolong buka aku Saya mengapa di blokir,5
mic saya berfungsi normal.,5
Bagus,5
Aplikasi nya berguna,5
bgs sih knp aku sdh update ga berubah²?,5
Bagus,5
Mantap,5
Makasih...,5
"tambahin fitur arsip story, menambakan lagu di story, tag orang lain dan repost story dari orang lain",3
"Tolong dong chat nya di buat permanen aja gx usah ada hilang dalam 24 jam dan lain lain ,,kita jadi gx ounya bukti chat kalo mreka pake progamnya",1
Jelek huuuhh👎👎👎👎,1
Kenapa jadi error' GK karuan,1
🫶🏻🫶🏻,5
Sangat,5
Suwai.....,5
Gak tau,1
Sangat baik aplikasinya,5
MAU FITUR VC NO MIRROR,5
Verygood this aplikation,5
Ok,4
Kenapa setiap saya download gak dapat kode verifikasi padahal jaringan lancar nomor juga baru,2
Good watsap,5
Ko udah di update malah burik video biasanya upload bagus normal skrang malah kau wa..,1
Mantap,5
Memuas kan,1
Ntah,5
Lagondu asal Kolese kec.paso kolaga.seorang duda lama jika ada yang berminat ku mau mba.,5
Ol,5
Ga bisa berkata² pokoknya udah bagus,5
Sangat b,5
Siiiiip,4
FF,5
Bgus,5
Aplikasi ini memang luar biasa,5
Ok,5
Wa saya tidak mau di buka,5
Foto dan Video distatus tidak HD,1
Watshap ok,2
Bgus,5
Aku sendiri GK bisawatsap,5
Gak suka wa yg terbaru ini ....mana pembaruan gak bisa dikembalikan....otomatis pembaruan sndri aplikasinya....,2
Baguss,5
Tidak bisa menerima kode verifikasi,1
A bagus,5
Aplikasi yang sangat membantu sistem komunikasi yang sangat efisien..,5
Enakan kaya dulu WhatsApp nya sekarang jadi ribet males,1
Membuka WhatsApp Mesenggr,5
Good for you whatsaap,5
Aplikasix oke,3
Tidak bisa masuk,1
Wah up lagi makin seru ni!!!,5
Mantap,5
Bisnis,5
min tolng ilangin gabisa screenshot saat liat foto 1× liat🙏,5
Bga,5
Telat update whatshap aja kena blokir plis lah whattshap buka no ku,1
Good,5
Puaaaaaaaaaaas,5
Manstap,5
Knp sih update trz skrg,1
Amako,5
Lumayan,5
Tolong pulihkan akun saya kembali,1
"kenapa setiap post story selalu video/foto kekompres atau buram??, saya sangat kecewa!!",1
"Sangat"" tidak puas saat vc error",1
di apdet malah makin rusak ni wa,1
wa hilangnya,5
"ni gimana si maksudnya, cape bangt tau ga si orang lagi ngerjain data yg penting malah ada notif pemulihan pemulihan pas uda dipulihkan ilang semua apasi tambah ga jelas",1
Good,5
Saqiy poi,1
Saya suka dengan aplikasi ini,5
"kapan ngeluarin emoji iPhone bund,emoji wa kek alay🙂🔫",5
Anjay,5
Pengalaman saya kerja,5
cukup bagus,3
Bagus aplikasinya,5
Sangat membantu dalam aktifitas,5
Sangat bermanfaat bagi saya bisa.belajar nelalui daring utk anak saya,5
"kenapa setiap video call gambarnya ngelag, padahal sinyal bagus",1
Lalo meta,5
Wa tidak ada fitur tautkan perangkat lagi,3
Ok.,5
Jos,5
Bagussss,5
ok Ok,1
Bagus sesuai dengan keinginan,5
k.m .kk.ymO,4
sukaaaaa mngkin banyak fitur nyaa kaloo bisa tambahin lgi fitur canggihnya jangan sampaii di ilngin lgii😍💖,5
Bagus,5
Baik,2
"Kembalikan Tampilan Whatsapp Yang Lama!, tampilan yang baru tidak menarik",1
Kupercayakan pada mu,5
PERBAIKI BUG WA.ME/SETTINGS WOI 😡😡😡,5
Sekarang whasaap byk bedanya,1
Skrang malah di blokir akun nie yg buat watsap mesenger niat ga sih jgn mau jual aplikasi doang lah,1
"Saya tidak bisa pasang whatsap saya,, mff saya kasih bintang 1 kalo udh beres baru sya ksih bintang 5 lgi",1
Hilang,4
Sangat menyenangkan applikasi ini,5
Ok,5
Sangat membatu,5
Lebih bagus lagi ya,5
Kenapa wa memblokir nomor sy...,1
Snagat bagus,5
Sangat bagus,5
Aplikasinya tambah nyusahin masa nomer keluar terus dari aplikasi pas mau masuk gk bisa,1
Kenapa Kena blokir pihak whatsApp,1
Sinyal nya padahal full kuota nya full tapi knp setiap aku kirim video macet!!!! Dh lh jangan ke banyakan update gini nih jadi nya pasti banyak kesalahan:((((,1
Saya kurang puas memakai WhatsApp karna selalu kena tinjau,1
Membuat mudah dlm berkomunikasi jarak jauh,4
Kenapa saya tidak bisa menggunakan WhatsApp ini,5
ini knp ya WA sy slalu ke riset pesan'nya pdhl sy ga mencet atau ngapa'in tiba' ke riset sendiri,1
bikin versi terbaru yg bisa bener' kaya WhatsApp di iPhone dong min😁😁,5
Ziiip,5
saya menggunakan nya .... bagus kok👍👍👍👍,4
Nyenye,2
Fitur setelah update kurang bagus,1
Bisa girim pap kek cwem,5
"Tolong saat membuat status wa, Videonya di jernihkan, bukan smakin buram!!! Tdak sperti video yg asli",2
Bgs,5
Akhir akhir ini whatsapp gw kok mau liat status itu gk bisa ya muncul tulisan terjadi kesalahan saat memutar video itu bug dari whatsapp nya kah? Padahal jaringan ku juga lancar,3
Jadi begitulah kira²,3
Tolong dong fitur foto yg sekali di liahat bisa di ss seperti dulu lagi soalnya saya gak bisa ss pap pacar saya hehe.tolong di perbaiki lagi Terimakasih,1
Iam like itu,5
Suka pengalaman whatsaap,2
Gpp,3
Kenapa tidak bisa menghapus pesan,1
Bagus,5
buat fitur fliter!!!!,5
Mohon di perbaiki kenapa setiap telvon di wa kok suaranya pecah mohon di perbaiki trimakasih,5
adain fitur efek buat vidcall dong wkwk lg insecure ni😵😭,5
Update trus jadi yg lebih bagus yaa🤩,5
Wa saya kena spam,3
Baguss kok,1
Bagus,5
Bagus,5
"Tolong tambahkan fitur vote atau memilih jawaban di status kita, misalnya saya bikin status dan membuat pertanyaan dan jawabannya sudah saya tentukan, nanti yang melihat status saya bisa vote atau memilih jawaban dari yang saya tentukan.",5
Lemut,5
"Hi developer anda sangat bijak ya dalam membuat aplikasi , aplikasi ini sangat bagus loh saya bisa chatan tiap hari sama ayang saya buat developer nya panjang umur ya jangan lupa share Lok ya , kalau disini ada yg jual rudal secara legal saya mau beli soalnya saya mau rudal apartement developer aplikasi ini",5
Baguze,5
Oke,1
Ok,5
Bagus banget,3
Bagus bgt tp bisa ga tambahin fitur yg menarik lgiii,5
Bgs update sekarang tapi kenapa ya setiap update WhatsApp pasti status temen kalau gak kita itu hilang,4
Umpan balik dari berbagai sumber,5
"Makin kesini update makin aneh ribet gak bisa di geser""",1
Bgs sklii,5
Good joob,4
Sngtt bguss,5
Meylia Anggraeni🌴🌈🇵🇱🇬🇱,5
Suka,4
Sangat berguna👍👍👍👍,5
ok,5
Kenapa ya wa saya tidak pisa memasang nomer telpon iya saya sangat butuh whatsapp ini tolong di perbaeki aplikasi whatsapp nya dong saya buh wa ini,5
Bgs,4
Wa ku tidak seperti yang lain yg kaya iPhone,2
Sesat,5
Bagus banget sih sama apelasi ini ada pembarui kayak hp ipon,5
Kalau go ada watsApp gun hidup kita,5
Sulit,5
My i,5
"makin kwren banget om, tapi kalau bisa resolusi pas bikin story, fotonya jangan jadi pecah / 144p gitu dong heheheheh. hrs 180p, mks y, semoga makin lebih keren lagi anjaz 💋💋",5
Sangat mudah digunakan,3
Masa WhatsApp saya jadi dii bawah abis di update,2
ko aku ngechat dia malah ngeread ya?,5
"Tidak bisa menukar nama kontak, udah di coba berkali² tetap tidak bisa",3
Whatsapp nya kurang ky ga jelas gitu maaf saya kasi bintang 1 doang karna emang g jelas,1
"Please the microphone is still bad,",1
Kenapa sih susah banget download WhatsApp messenger,1
"Baru ajjah di update, eh malah WA nya gak bisa di buka, saya pakai HP Redmi 10C",1
sangat bgus,4
"Saya tidak bisa login wathsap, akun saya diblokir",5
sangat bagus,5
Gak jelas kode sms gak dapat pangilan tidak bisa,1
aplibkasi nya mantap kali.makasi gugel,5
WA ini seru,5
REZA:SABRIAN:ALMADANI,5
Terima Kasih untk Aplikasi nya bgus,5
Masya Allah Sangat berguna wa ini,5
Bagus,5
Terlalu sering ada bug. Dimana ketika video call terjeda. Maka otomatis mati video call nya,1
Sebenarnya lumayan bagus tapi yang bikin saya agak jengkel kenapa sih kok harus pakai pembaharuan terus memerus.,2
Mantap,5
Kurang mendukung,5
"Mungkin rating ini sesuai dengan kemajuan whatsApp,karena ketika saya masuk.. di apk whatsApp dan membuat status atau pun chat seseorang, tanpa saya tekan keluar.. malah keluar sendiri",3
Bagus,5
WhatsApp sekarang semakin rusakkk update update gada perubahan malah tambah edan,1
Stop making stupid UI UX,1
Oke lah,2
Bagus,5
Bahu,5
Mantap,5
Bagus,5
Oke,5
sulit perbarui wa,1
suka jalan jalan,1
Knp what up saya d blokir trus,2
WatsApp ini sangat bermanfaat untuk berkomunikasi dan bisnis,5
Oke,5
Bagus,5
Ok,5
Ok,5
Kok sw nya gk bisa dibuka sihhh Tolong diperbaiki lagi donk!!,1
Sangat bagus,5
Ya begitu,4
Bagus,5
Masih suka eror,5
Kenapa agak lambat pengiriman chat wa nya,5
Aplikasi bisa apa saja bisa ngobrol di chat sama temen aku kasi bintang lima ⭐⭐⭐⭐⭐,5
Setelah saya update kenapa riwayat panggilan hilang semua:(,1
Sangat baik,5
Mksi wshap,5
Sempurna,5
Bagus bro mantap.,5
👍,5
Bagus,5
welll,5
Oke,1
Mantap,5
Martin isinkan menoton bokep,5
Maaf saya kasih rating 1 karna pas saya masukin no nya gak bisa padahal itu no nya udah bnr itu no nya malah gak bisa bisa udah coba beberapa kali tetep gak bisa,1
Mantap,5
Bagus,5
Dengan menggunakan aplikasi WhatsApp komunikasi menjadi Lacar,5
"ini gimana sih fiturnya jadi kek gini,gak nyaman. balikin yang kek dulu lah",1
Update banyak taiknya,1
Bagus,5
Baik. Sangat. Membantumu. Kami,3
Cukup,2
Bagus,5
Baguss^-^,5
"Sangat busuk, aplikasi sampah",1
wow,5
Aplikasi yang sangat bermanfaat untuk komunikasi saat ini,5
Ebeww,1
Bagus,2
Bagus 👍👍👍,5
Mantap mennn,5
Good,5
Req emot bendera Ohio!! 😠😠 Nanti dikasih bintang 1000000000 kalau ada bendera Ohio😍🥰😘😘🤩🤩🤩🤩,3
di up malah tmbah ga jls,3
Love it,5
"Apk nya bgs,tapi kenapa banyak yg bilang jelek trus tapi boong yak?",5
Bagus nomor satu di play store sempurna,5
Mencari benda kuno,1
Hemat n hebat buanget bro wa ini smg manfaat untuk saya dan kaka2 to,5
Rk iso di bukakk,1
wea ajing,1
Sangat berguna dan sy bisa mengirim pesan melalui wafshapp ini,5
Telek tonggo iya teee,5
Pengalaman jalan jalan Di tuapejat,5
Jelekk😢,1
Aming,5
Oke banget,5
Kenapa nada dering tidak bisa diganti lagu mp3,1
"Setelah update UI nya malah tidak menarik dak ribet. Lebih bagus dan enak UI yang lama. Ini mirip-mirip WA di IOS, tapi kurang enak.",1
"Mohon di perbaiki aflikasi WhatsApp ini terjadi bug saat saya memposting video di status, video yg saya posting pas ya posting biasa saja pas saya liat ko jdi ngebug video d tonton mlh berhenti d pertangahan dan gk bisa maju2 video nya, mohon d perbaiki karena menurut saya WhatsApp sekarang udh d update malah mkin buruk🙏",1
Good,4
Lebih canggih,4
Wow,5
Saya kasih rating tinggi soalnya bagus buat bales cht pacar orang 👍,5
Good,5
Saya suka yang baik saya supaya hasilnya pun juga yang baik dan saya saya suka lebih apel leb maaf menyukai mungkin saya ingin saya merasa senang saya ingin apa nama bagus lagu senam lagu senam aerobik pesannya cara mengirimnya bagaimana in ya Allah wisata Allah mendengarkan mendengarkan ucapan saya messenger saya senang saya senang mendengar melihat teman-teman dan menarik cara buka bu dengan teman saya ingin hanya ingin bertanya tanya sama teman ini harus p harus gimana harus kita ha ok maaf,1
Update mulu,1
Leleg,2
oke,5
Bagus,5
Oke,5
"Apk nya sangat bagussss, tolong tambahin filter cute, dll . 😊",5
Sagat bgus,5
Akun gw di blokir tiba² ***,3
Bagus,5
Terimakasih min...sangat membantu. Aplikasi WA memang bagus dan masih yg terbaik 👍,5
ko sepi,2
Apk bagus banget,5
Ok,5
Bagusss sekali,5
Mantap,5
"Diupdate bukannya tambah bagus malahan tambah rusak video call klu dikecilkan gambar ngebag ga bisa ditekan tekan, kenapa ya ada yg sama ga guys..",1
Sangat bagus y,5
Sangat cocok untuk sehari hari,5
Terimakasih telah membantu saya.,5
Mantap,5
"sekarang setiap bikin status resolusi gambar nya jadi pecah, ditambah lagi jadi nge zoom sendiri gitu..",4
Apl yg sangat baguss,5
"Sangat membantu saya,",4
sangat menunjang bisnis saya,5
Mletreee,3
"Bagaimana cara memperbaharui aplikasi WhatsApp yg tidak bs di buka, krn meminta PIN verifikasi dua langkah,...... Sedang PIN tersebut sudah lupa, ...... Mhn bantuannya yaaaa......",5
Wa nge bung,1
Bagussssssss,5
Saya sangat suka,5
Sip senang tidak rewel,5
Kerem,5
Tingkatkan,4
Lumayan,5
"Berguna bngt, oh iya min tolong yah kualitas pengunggahan status di bagusin lagi yah soalnya kadang suka gak sesuai sama kualitas nya pas mau post story",5
Wa,5
ok,5
Sangat membantu,5
Sangat penting aplikasi ini,5
Pengen kayak wa orang² yang sdh kyk ipon,4
Tolong tambahin fitur kayak ig dong 😁😁🙏🏻🙏🏻,4
Kalo aku bisa balikan sama mantan ku lagi aku kasih bintang 5,3
mantap men,5
Sippp,5
Gg,5
Suka sekali,5
Ma tap,4
Ya saya menggunakan nyaman,2
WhatsApp adalah aplikasi yang seru untuk saling kirim pesan online,5
Jelek banget rating buat sekarang masa video yang ukuran nya cuman 3mb di kompres lagi jadi 1 MB gimana sih biasanya juga minimal 8 mb,1
Good,5
abis upgrade kalo ngirim video suaranya ilang woy. akses mic udah on padahal,5
Bagus banget,5
ok,5
Sp,3
Mau di edit sih tapi belum tau tampilanny nanti gimana?,3
Bagus bgt buat waan,5
Good,5
WhatsApp sangat bagus,5
