content,score,Label
Knp setiap gua buka wa selalu lama tolong di perbarui masuk nya aja ada 2mnt,5,positif
Well poko namah,5,positif
Pengguna setia,4,positif
i ii jika,2,positif
Keblokir tanpa melakukan kesalahan sedikitpun dan parahnya lagi setelah blokirnya dibuka bukannnya mendapatkan kode verifikasi malah ada tulisan you need the official WhatsApp to use this account...setelah ganti nomor baru cuma beberapa jam kembali keblokir...ada apa dan kenapa????!!!!,1,negatif
Sangat penting sekali,4,positif
Kenapa ya aku tidak melanggar apa apa tiba tiba kok akun wa ku diblok sama pihak wa bagai manani kok bisa kaya gini buat orang marah saja karena semua nomor nomor temen temen aku masih ada di situ dasar apk jelek jika bisa tolong kembalikan aku wa ku plis,1,negatif
Ter ter ter ter...,5,positif
Bagus,5,positif
Woke Bang,5,positif
Wa sangat menyenangkan silahkan kalian dowload pasti seru rata rata orang indonesia memakai apk ini,5,positif
Terkadang suka ke hapus semua file media dan semua riwayat chat telpon,5,positif
Tuir,2,positif
sangat memuaskan,5,positif
akun saya sering diblokir padahal tidak melakukan kesalahan apapun atau menggunakan aplikasi whatsapp Gb,1,negatif
"Sekarang kalo ada orang telvon nggk pernah ada notifikasinya,,kalo dibuka baru nongol ada yg nelvon",3,netral
Tidak ngerti dengan aturan anda whatsapp,5,positif
Nih aku kasih bintang 5,5,positif
Bagus,5,positif
🤗,5,positif
Membuat Meta baru,5,positif
"Zat Zee + lima l xx xx), 9 2 TT Arr UU g RUU TM umi r dan juga es r RT UU 0 yg Q Mu Kex xx oabb @²4 Mz , Yg ,?,,yt, ga@0m PP KK Ada Mr itu Z mm",2,positif
Mantap,4,positif
sangat baaik,5,positif
"keren , krna wa aku bisa pacaran virtual🥰🥰🥰🥰🥰😋😋😋😋😋😋😛😛😛😛😛😛❤❤❤❤❤❤",5,positif
Wa memberikan informasi cepat dan akurat,3,netral
"Sumpah ngelag bgt, mau buka wa kadang keluar sendiri dr aplikasi nya🥲🥲",5,positif
"Kenapa terkadang kalau telfon itu suara nya kecil sekali dan kadang hilang,sangat menggangu",3,netral
kenapa ya setelah di-update wa nya chatnya malah hilang semua. Biasanya kalo update ga kaya gini,2,positif
Mantap,5,positif
Ok,5,positif
Gak bisa masuk,1,negatif
Kok payah d perbaharui,5,positif
Mantaap,5,positif
Mantaf,5,positif
WA,5,positif
Tiba tiba kontak pada hilang,1,negatif
Sangat bagus cocok untuk di zaman sekarang ini,5,positif
Wa,5,positif
Sesuai,5,positif
Mau di update malah gak bisa tapi malah di saranin buat update 😶,4,positif
Cepat bisa dong WhatsApp,5,positif
Aplikasi sangat membantu,5,positif
"Gjls, buat sw kek buat sw mke HP jadul buram, app ngntit",1,negatif
keren,5,positif
"Bisa gak kalau status resolusinya gak usah di kompres, tolong banget nih, setiap bikin status burik Mulu gak enak diliat 😭😭😭😭",2,positif
Diupdate malah ga jelas ga bisa liat video,1,negatif
Bagus,5,positif
Gimana sih ini. Aku bge chat dia udah di read malah ga di bales.,1,negatif
Seru kok🥵,5,positif
Mantap,4,positif
Hallo Dukungan WhatsApp saya adalah salah satu pengguna WhatsApp Sayang nya akun WhatsApp saya telah diblokir tetapi saya merasa tidak melakukan kesalahan. Dan saat saya melapor malah error' tolong diperbaiki agar WhatsApp saya tidak diblokir dan sesegera membuka blokirnya.Terimakasih,3,netral
👋,5,positif
Aplikasinya 👎👎👎 terlalu banyak iklan,1,negatif
Oke banget,5,positif
Ngesave nomer sendiri,1,negatif
Okokokok,5,positif
Sangat Bagus,5,positif
Siiip,5,positif
"whatsap berakkkk, chatnyaa kehapuss sendirii anjenggggg",1,negatif
Kok aplikasi ya gak bisa di pasang,2,positif
Tolong pihak WhatsApp di perbaiki lagi ini kok saya buat status entah itu video/foto kok hasilnya burik tolonglah diperbaiki,2,positif
😃,5,positif
Is the best⭐ edition👍limited,5,positif
Setelah update Kenapa kalau videocall ketika di kecilin suka eror ga bisa di pindahin.. ?,1,negatif
Gk ada apa apa sih cuma pengen ngasih 1 bintang aja 👍,1,negatif
Bagus,5,positif
"saya menunggu update-update selanjutnya, aplikasi ini memuaskan",5,positif
Aku suka banget,5,positif
Tidak bisa dijelaskan dengan kata2 Tapi cukup satu kata untuk apk WA ini BURUK,1,negatif
Keren,5,positif
St,5,positif
Apk nya bagus kualitas bagus pokok nya gitu deh 👍✨,5,positif
WhatApp,1,negatif
Buruk,1,negatif
Mantapp sekali,5,positif
Bagus,5,positif
Toko,5,positif
wek wek wew wew,5,positif
Biasa aja,3,netral
Sangat membantu untuk kecerdasan dan pengetahuan juga,5,positif
Oktimis bgus,5,positif
Kurang bagus,3,netral
Sangat bagus haha,5,positif
"Yg smua bilang WhatsApp itu jelek itu salah, WhatsApp itu sangat baguss karena itu saya kasih 5 bintang👍👍👍",5,positif
Mantap,5,positif
Udah diupdate kok kalo liat video story lma bgt loading trs tpi kalo buka story fto cpet tlong dperbaiki juga kalo lg vc kdng lyr ngleg ngga bsa dkeluarin,2,positif
Andiiinggggg!!!,1,negatif
Jaringan susah kadang,4,positif
Susah masuk daftar ga terima kode lewat sms malah harus nunggu 1 jam,1,negatif
WhatsApp is the best app in the world,5,positif
Bagus,5,positif
Ga bisa diupdate..kenapa ni,1,negatif
Berteman yg baik hati,5,positif
Bgs,5,positif
Aplikasi nya bagus😊,5,positif
Aplikasinya bisa mehina teman,5,positif
Baguss,5,positif
Hahahaha,1,negatif
Anjer ga bisa liat story,1,negatif
"apaan sih gajelas banget tiba2 kerestart chat ilang semua, padahal jam 2 pagi selalu nyadangin otomatis. nih semua info2 penting jadinya ilang. gaada pemberitauan dulu tiba2 langsung kerestart aja. lancang banget nih sistemnya",1,negatif
Kasih bintang 🌟 3 aja dulu,3,netral
Tdak bisa di akses,4,positif
Kalo dibuat telfon suara e pelan☹️,1,negatif
sangat membantu,5,positif
Ini sangat berguna untuk saya,5,positif
"Mau post apa apa di story pada pecah,",1,negatif
Sangat nyaman,5,positif
Saya,5,positif
Sangat bagus,5,positif
Uninstal lebih baik untuk menjaga darah biar nggak laik dri pd harus kena strok gegara setia dg aplikasi ini,1,negatif
Saya,5,positif
Saya sangat suka dengn aplikasi whatsapp ini tapi ada satu yg kurang yaitu emoji/stiker nya mohon di perbaiki dan di perbanyak lagi ok Tapi yang lain saya suka ok,5,positif
Oke,5,positif
app terlalu sering update,5,positif
Buat vc WhatsApp nya jadi eror,1,negatif
Ok,5,positif
Pacaran,1,negatif
Mohon bantuannya kenapa akun watshap saya tiba tiba keluar dn saya GK bisa login,5,positif
m. ..,4,positif
WA terdebet sih,5,positif
🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼,5,positif
Bagus banget AQ sukaaaaaaaaaaaaaaaaaaaaaaa,5,positif
Tdk bisa upload gambar dan video dari hp,3,netral
就 …个，一，已经 ：,1,negatif
WA memang bagus aku kasih bintang lima,5,positif
Yhgg Inggris sejak dulu tiket ukur itu nya Ju Ju,5,positif
Baik dan bagus,4,positif
update lagi yang terbaru dong kenapa wa saya berkedip,1,negatif
Bagus,5,positif
udh update malah error. apalagi sedang vc. video kita seperti terjeda padahal gk ngapa2in. tindak lanjutnya mohon d perbaiki,1,negatif
Gak bisa di gunain,1,negatif
Bergantung kok karo wa... Opo wa ki iso nylamatke koe ko siksa kubur....nylametke neng hari kebangkitan...tekan hari penimbangan amal apik lan amal olo... Tapi Gusti Allah SWT Maha Pengampun...Aminn Iku bagi kepercayaane seng agamane Islam Mboh nek agama liyo ngono po gak aku yo gak mudeng,1,negatif
Bagus,5,positif
BISAA GAA FITUR SEKALI LIAT DIBALIKIN BISA DI SCREENSHOT LAGI??,1,negatif
𝐷𝑖𝑏,5,positif
"Terima admin whatsapp, hp saya tidak bisa mengunakan whatsapp",5,positif
Bantu watsapp,3,netral
Mantaaappp,4,positif
angel ddonlod,1,negatif
Ok..ok,5,positif
iso wifi terus,5,positif
Bagusssss😅,1,negatif
"Mau liat dlu hsil nya, baik atau smkin buruk, Krn mlihT yg lain byk yg kcewa",1,negatif
"Gk tau knp wa dihp saya benar benar lemot banget bukanya, ini tolong gimna ya,",1,negatif
Sangat memuaskan,5,positif
Bermanfaat,5,positif
Mantap,5,positif
"Dicoba ya , mudah mudahan ngak ada hambatan...aamiin",5,positif
Keren!!!!!!!!!!!!!!!!!!,5,positif
bagus,5,positif
Gak tau,4,positif
Bagus,5,positif
WhatsApp sangat bagus,5,positif
jelek apalagi semenjak ada fitur sekali liat,1,negatif
Bagus,5,positif
Hebat,5,positif
bagus bngt,5,positif
Aplikasi terbaik untuk komunikasi,5,positif
Sangat baik,5,positif
Oke,5,positif
Ok,5,positif
Sangat bagus,4,positif
Whatsapp TDK berjalan mhn bantuan,5,positif
Wa error tdk bisa di update atau di Download,2,positif
WhatsApp sangat baik,5,positif
Bagus,5,positif
Harap bantu nya dong akun saya ke blokir bagi saya ituh penting harap bantu an nya,1,negatif
Saya suka whasap,5,positif
Kenapa watsapp ku ga bisa di buka,5,positif
Ok,1,negatif
Ko susah ya idsh daftar malah ga bisa masuk,1,negatif
Nuri lestari,5,positif
"Tiba tiba WA ga bisa dibuka , parahh",1,negatif
Bagus,3,netral
Cl li o 0 .0l 0uO lk uji BBM i i .ulu l untu mou7kmu h. Iyi Ok la k.,1,negatif
senang,5,positif
"Kenapa akhir2 ini WA saya selalu bermasalah. "" AKUN INI TIDAK DIIZINKAN UNTUK MENGGUNAKAN WHATSAPP """,1,negatif
Sangata memuaskan Jika,4,positif
Oke,4,positif
Bagus,5,positif
Ik,5,positif
Baguss,4,positif
Keren bisa kirim fto dan vidio WA emang keren 😎,5,positif
Sangat berguna Buat masyarakat,5,positif
Saya suka WA karna bisa hubungin keluargaku,4,positif
Okeee,2,positif
Link nya saya mau masuk🙏,5,positif
Good,5,positif
WhatsApp membuat banyak orang yang menyukai,3,netral
Aplikasi yang mudah dan cepat di fahami dan terjangkau,5,positif
Susah didonlowd,3,netral
Bapak yanto 03 juni 2023.,5,positif
enggak ada gunanya pembaruan,1,negatif
ok,1,negatif
Mantap,5,positif
Cukup bagus,5,positif
Seru,5,positif
Sangat bagus loading nya ngak lama,5,positif
Ok,4,positif
O Apik,5,positif
WhatsApp sangat buruk,1,negatif
"Setatus video suka berhenti ditengah, suara video kadang tidak sesuai dengan videonya.",2,positif
Tidak jelas,1,negatif
Tolong pihak wa kalo saya upload video jgn di kompres cuk jadi buriq...dk enak buriq² apa lagi di sw jadi buriq...udh bner lah milih HD ehh di kompres vdeony,1,negatif
Bagus sih cuma klo mau update malah jadi ke hapus jadi ak kasih bintang 3 aj klo mau di update jangan ke hapus y 🙏 Terus klo mau liat vidio / foto jadi buram😔,3,netral
"Tidak bisa mengirim voice note, sudah merekam suara tpi malah pas dikirim tidak muncul sudah di coba berkali kali namun ttp tidak bisa",1,negatif
Vidio z exx,5,positif
Bagus banget bisa video call sama keluarga jadi aku kasi bintang 5 lima,5,positif
Bagus bener whatsap ini.,5,positif
yah,4,positif
Mau Masuk grup Memuat Terus Ga bisa Bisa Hapus aja Lah Wa Kalo Buat Apk Tuh Yang bener,1,negatif
Sgt brguna,5,positif
Bagus,5,positif
Sangat baik👍👍,5,positif
keren bolo,5,positif
Aplikasi yang sangat membantu saya untuk bekerja melalui chatting dan video call,5,positif
Kalok bisa di fitur tautkan perangkat bisa kirim status la,5,positif
tiap tlpn mati terus,1,negatif
Bagus sekali,5,positif
Bgs,5,positif
apknya bagus,5,positif
Aku suka dengan aplikasi ini aplikasi ini bisa untuk chatting dengan teman atau keluarga Anda Ayo download sekarang 😍😁😁😁,5,positif
☺as😚😚😁😊😊😚😚😛😛😌😛😛😛😛😥😛😛😛😛😚dlfw'sol,5,positif
Baik,5,positif
ok,5,positif
Bagus bgt 😍,5,positif
😄😁😁😆😆😆😆,5,positif
Jan nn ..... Jossss...... 👌👌👌👌🤭,4,positif
Baik dan lancar,3,netral
Kece badai,5,positif
Tingkatkan lgi,5,positif
Ok bro,1,negatif
Bagus,5,positif
Jika ada panggilan jangan bisa dong merekam tangkapan layar,5,positif
Baguusss banget vitur barunya juga oke,5,positif
Ok berguna dan sangat penting saat ini untuk komunikasi,5,positif
Good,5,positif
Kieu weeee kumha deui,4,positif
tolong dong bantu wa ny gak bisa diinstal,3,netral
Setiap di buat telpon selalu nunggu beberapa detik dulu baru ada suaranya,1,negatif
Bagus banget,4,positif
23 9 23,2,positif
Aplikasi bikin rusuh aja,1,negatif
Aplikasini ini sangat bagus☺️👍,5,positif
gak usah banya peraturanlah bikin repot aja,5,positif
Aplikasi ini menurut saya bagus,4,positif
Makin aneh,4,positif
"pliss tlong kmbliin ss sekali liat lgi dong, susah buat ss foto pcr ak🤡🤡🤡",4,positif
Keren,5,positif
👌👌,2,positif
Bagus,5,positif
makin ke sini makin ngawur. tlp ke hp tmn padahal org nya di sebelah. di 1 jaringan yg sm. tp ga berdering ga masuk telp nya. cm memanggil,1,negatif
Parah lah setiap bikin status foto maupun video selalu pecah padahal udh di edit d stabilin tetep aja sama pecah tolong dong d perbaiki,2,positif
Baik\,5,positif
Jelek dalam Membaca file hp,1,negatif
Bagus sihh,4,positif
Dengan,1,negatif
Sangat bagus 😎👍,5,positif
Baik,5,positif
sangat membantu,5,positif
WhatsApphotandcool,5,positif
Ok boleh,5,positif
Bagus,5,positif
Ya bahgus,5,positif
Saya senang bisa berkomunikasi dengan aplikasi ini,1,negatif
"Vidio di setatus tidak bisa di putar dan kualitas nya buram, tetapi ada yg bikin sy suka karena setiap kita chat di grup di sebelah kiri/kanan ada gambar foto frofil kita .",2,positif
makin burik,1,negatif
"Saya pengguna android, dan sangat sulit mengirim pesan ke pengguna iphone",1,negatif
hai km follow ig ku ya nanti ku follback @nunuksiii_,5,positif
Kenapa ya foto dari wa tidak tersimpan di galeri ya?,1,negatif
"Kenapa ya ,tiap mau lihat sw yg kayak foto gitu fotony burem ,",2,positif
Sangat membantu,5,positif
Eh lengkap,4,positif
Kecewa,2,positif
Sangat menbantu,5,positif
Saya suka aplikasi ini,1,negatif
aplikasinya bagus cuma kurang 1 dan cukup fatal bagi saya saya tidak suka fitur/bug foto/video sekali lihat jadi saya kasih bintang 1 tolong diperbaiki lagi ya dan diilangkan fitur/bug foto sekali lihat. terimakasih,1,negatif
WhatAPppp,4,positif
"Halo whatsapp, terimakasih sdh sangat memudahkan pengguna dlm hal komunikasi. Saran saya sebaiknya tambahkan fitur grup terpisah dan tdk gabung dengan chat pribadi. Terimakasih 🙏🏻☺️",4,positif
Sangat puas dgn pelayanannya,4,positif
oke,5,positif
KENAPA SAAT KITA SEDANG MEREKAM SUARA SUARA KITA MALAH JADI BEDA SAMA ASLINYA .... TERUS KALAU KITA SUDAH SAVE NOMKR ORANG KALAU KITA MAU GANTI NAMANYA SELALU NGELAG ...... NAH KALAU MENGIRIM FOTO/VIDEO BIASANYA BISA SEKALIGUS BANYAK KALAU INII JADI MALAH SATU PERSATU ......... PERASAAN WA MAKIN UPDATE MAKIN JELEK DEHHHHHHH🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,1,negatif
Snack vidio tidak bisa dibuka,5,positif
Yh,5,positif
"Kenapa wa jadii gajelass bgni kalo tlfon/vc selalu matii sendiri terus kadang pass buka wa keluar sendiri,paling sering kalo tlfonan pasti selalu matii sendiri tolong segera diperbaiki dong. sangat² menggangu",1,negatif
"Histori pengeditan bersifat publik, Kecuali lika ulasandihapus. Pelaiari legit Ianiut",1,negatif
Baguss,5,positif
Apk ny sudah jauh lebih bagus dan bnyk penambahan fitur-fitur baru yang lebih menarik untuk mempermudah penggunaannya,4,positif
"Tolong beri fitur tambahan stiker di bagian download otomatis ,ga guna gua matiin semua kalo stiker tetap kedownload ,paketan gua cepet habis kalo gitu ceritanya",3,netral
Lumayan,3,netral
Terima kasih,5,positif
Sangat bagus,5,positif
1. Tidak bisa restore dari local backup. Hanya bisa restore dari google drive. Makanya aku kasih 1 bintang saja. 2. Lebih bagus lagi kalau bisa backup & restore hanya dari percakapan / group yang dipilih saja. 3. Lebih hebat lagi kalau bisa cloud based seperti telegram. Supaya tidak perlu pusing denban backup restore.,5,positif
bgus,5,positif
"Setelah melakukan update di aplikasi Whatsapp, aplikasi sya nge bug saat mau ambil gambar, dan tidak bisa melakukan pemotretan!!!! Mohon segera diperbaiki, saya sangat benci hal seperti ini.",1,negatif
Lumayann,4,positif
Sangat membantu dan smua urusan dapat menjangkau biar jau,5,positif
Mau Nya Saya Status Itu Bisa Bebas Tanpa 30dtik Jdi Saya Bisa Menggunakan Status Bebas,3,netral
baik,5,positif
Bagus tpi knp setiap tahun mesti update,4,positif
Idibagus,5,positif
Tiba photo di wa tidak bisa di dwonloud,2,positif
"Apasii whatsapp... Kok akhir2 ini kita gbs liat Sw org, pdhl org itu ga privasi dan blok kita?? Anehh padahl hari ni shbt gw ultah lohhh",4,positif
"Kan sekarang selalu tergantung sama wa apalagi anak sekolah, terus knapa wa nya selalu kadaluwarsa",1,negatif
Terima kasih untuk pengguna play store,5,positif
Ok,5,positif
WhatsApp Messeng...,5,positif
Bagus sekali,5,positif
Baik,1,negatif
Vidio selalu terjeda Dan suara terputus_putus,2,positif
kenapa chat saya hilang semua ya.. tolong balikin .,1,negatif
sangat bagus sekali,4,positif
I love it,5,positif
Ngeleg wa nya,1,negatif
Kenapa apdep terus,1,negatif
Request fitur tag & repost kayak Ig bang,5,positif
"Vidio atau foto di status wa kenapa jadi burem bgt sih tolong dong untuk pengembang aplikasi ini untuk status wa jangan di turunin kualitas nya di update bukan nya makin bagus malah makin jelek aja Padahal aslinya hd vid atau foto nya tapi setelah di kirim ke story malah jadi burem bgt bikin ga nyaman bgt pokoknya, buat pengembang aplikasi WhatsApp di perbaiki segera mengganggu bgt soalnya kalau mau bikin story",2,positif
"Baru pake tablet saya kira akan seperti mobile.. ternyata seperti laptop, tidak bisa login langsung, harus scan barcode.. benar2 seperti laptop",3,netral
Bagus afk nya,5,positif
Bantu Unduh,5,positif
Pas di update sangat lama sampai menghabiskan kuota 2 gb dan juga pas pengiriman foto/vidio selalu keluar sendiri karena apa bug bug sekali aplikasi ini,2,positif
Ut,2,positif
WhatsApp baru terimakasih,5,positif
WhatsApp paling enak,5,positif
Seru,5,positif
Apk anj gw udah pake wa resmi tetep aja di suruh pake wa ori,1,negatif
Buruk sangatlah buruk tidak bisa masuk kode verifikasi sampai berhari-hari lamanya dan tidak ada solusi untuk masuk ke WhatsAppnya,1,negatif
goog,5,positif
Fast respon,5,positif
𝙺𝙴𝙽𝙰𝙿𝙰 𝚆𝙷𝙰𝚃𝚂𝙰𝙿𝙿 𝙼𝙰𝚃𝙸 𝚂𝙴𝙽𝙳𝙸𝚁𝙸 𝚃𝙴𝙻𝙴𝙿𝙾𝙽 𝙽𝚈𝙰 𝙺𝙰𝙻𝙾 𝙻𝙰𝙶𝙸 𝙼𝙰𝙸𝙽 𝙶𝙰𝙼𝙴 𝚃𝙰𝚁𝙸 𝙳𝙰𝙳𝙸 𝙵𝙰𝚀𝙸𝙷 𝚃𝙸𝙳𝙰𝙺 𝙿𝙴𝙽𝙲𝙴𝚃 𝙰𝙿𝙰𝙿𝙰,1,negatif
jelek serimg ngebug,1,negatif
"Nyesal kali ku update bagus yg kek sebelomnya,di update bukan tambah oke malah makin tah cemana mana jdinya,biasanya masukkan sw vidio g prna pecahh hasilnya,lahh ini semenjak di update buruk",1,negatif
Kenapa whatsapp tu keluar sendiri lepas nelfon orang kok bisa keluar sendiri aku gak pencet keluar aneh whatsapp gak guna,1,negatif
The best,5,positif
indah,5,positif
Bagus n simpel menggunakannya apk yg sangat memudahkan di zaman skrg,5,positif
Mantap,5,positif
keren,5,positif
Rp sama di all need tuh on WIB or si yg Si UN ini tak,5,positif
di update makin gajelas,1,negatif
Bagus,5,positif
salam semu,1,negatif
Knapa watsap saya sering terblokir saya sudah sering ganti ganti kartu untuk memulih kan nya malah sama saja,1,negatif
Whatsapp sangat membantu buat saya tuk menghubung keluarga dan kèrabat.,5,positif
Makasih,1,negatif
Good for all,5,positif
Di bekel padamaan Rm2S# 46,5,positif
Tolong dibantuin,5,positif
Bagus,5,positif
Dapat membantu komunikasi dengan keluarga jauh,3,netral
Dah Berguna Ya Bang,5,positif
Kenapa emot org pelukan warnanya abu2 sama biru ?,5,positif
Kode Verifikasi susah di dapat padahal butuh bgt buat kerjaan.,1,negatif
Oi min tambahkan vitur baru kayak story WhatsApp atau status tambahin durasi nya kayak 40 dtk atau 60 dtk biar saya merasa puas saat membuat story WhatsApp gitu saran aja kalo boleh hehehehe,5,positif
permainan nya bagus menarik banget bagus suka lagi di jamin kalian suka deh,5,positif
"WhatsApp tolong perbaiki lebih bagus lagi kalo pesannya di tarik sebelum dibaca udah aja jangan ninggalin jejak dong ( pesan di tarik) kecuali emang sudah dibaca gppa ninggalin jejak juga , dan kalo upload status jangan buram",4,positif
kembalikan fitur sekali lihat yang bisa discreenshot!!!,2,positif
Makasi WhatsApp telah update biar tidak error' lagi saat melihat tulisan wa.me/settings,5,positif
Saya mau nanya apk nya kan sudah saya update tapi kok gk ada yg berubah ya??,3,netral
Bagus lebih cepat mengakses berita,5,positif
"Sekarang klo vc trus diminimize gtu malah kek kedip"" trus jd 3/4 layar gtu vcnya. Susah klo mau minimize. Trus klo kirim dokumen harus satu"" jd lama trus ga efisien juga",3,netral
sangat bagus,5,positif
Bagus sekali,5,positif
Lumayan,2,positif
sekarang WhatsApp banyak bug nya,2,positif
Ok,5,positif
"Kenapa terlalu mudah untuk di bajak, sedangkan nomor telepon kita yang memakai",3,netral
Bagus,4,positif
ok ok okl,4,positif
Kenapa saya tdk bisa menginstal aplikasi nya,2,positif
Whatsapp bisa di bakai,5,positif
A Non v CNN w USB yes w taro w f free. V,1,negatif
aplikasi no 1,5,positif
Whatsapp saya tiba tiba keluar dan tidak bisa login kembali mohon bantuan nya,1,negatif
Bagus,3,netral
Semoga bagus kawan kawan,3,netral
Oke!!!!,5,positif
Sangat bagus,5,positif
muat ulang waee beres di ufgret teh,2,positif
Mantp,5,positif
Izlha,5,positif
"Di update terus, tapi kualitas sw-nya masih buruk gak ada perubahan.",3,netral
"Knpa watshap sekarang minta update, tapi ga bisa di update, muter² kayak gasing... hadeuuuh",1,negatif
Bagus,5,positif
Bagus,4,positif
"semakin lama ini aplikasi kualitasnya semakin menurun. biar jaringan bagus,tpi saat video call masih patah2. buram, lag. klu di update yah diperbaiki. bukan malah tambah hancur",2,positif
Bagus,4,positif
1w2w2,1,negatif
Mantap,5,positif
Salam sujses... Aplikasi ini sangat membantu komunikasi saya dengan para pelanggan saya di tempat jahit. Begitupun dengan keluarga di tempat yang jauh..,5,positif
Habis pembaruan malah akun terblokir permanen padahal tidak melakukan spam,2,positif
Siiippppp mantap,5,positif
Sangat penting di untuk berkomunikasi,5,positif
Pokok nya bagus deh aplikasi whatsAPP,5,positif
Aplikasi terbaik sepanjang masa,2,positif
Kualitas foto dan video menjadi sangat menurun ketika membuat status.,1,negatif
Good,5,positif
Tidak sesuai,1,negatif
"ini kenapa ya , kalo buka vn layarnya mati ..",3,netral
000000000000000000000000000000999999999999999999999999999999999999888888888888888888888888888888888888777777777777777777777777777777777777777766666666666666666666666666666666666655555555555555555555555555555555555544444444444⁴444444444444444444444333333333333333¾33333333333333333332222222222222222222222222222²22222221111111111111111111111111111111111111111111111111111,5,positif
Good,5,positif
"komang arjuna whatsapp tdk bisa di pake,terus disuruh verifikasi,tapi tdk dikasi nomer verifikasinya",5,positif
Akun ini tidak dapat menggunakan whatsapp,1,negatif
"Kenapa harus ada fitur foto sekali lihat? Jadinya kan pacar aku kirim foto sekali liat teruss, mohon kerjasamanya",1,negatif
MIN TOLONG BUKAK AKUN SAYA YG TERKENA SPAM ITU ADA URUSAN PENTING TOLONG BUKA AKU YG TERKENA SPAM,1,negatif
abdillah,1,negatif
"Saya Tidak dapat verivikasi nmr saya ,mohon bantuannya",5,positif
"Em lumayan sih tapi sering ngebad , tapi okelah bisa video call bareng saudara",5,positif
Statusnya di whatsapp tdk bisa di lihat lagi,4,positif
👍👎👍,3,netral
Lumayan,5,positif
Alhamdulillah,5,positif
Sangat cocok untuk semua orang,5,positif
Mantap men,5,positif
Jelek soal nya update trusss,1,negatif
Mitta bapa,5,positif
Karena bagus sekali waa ini,5,positif
THANKS U MARK,4,positif
Ok,4,positif
Wa burik,5,positif
Pokoknya ini baguss,5,positif
Sangan baik,5,positif
Hebat,5,positif
"Aku sudah update tapi TDK bisa, jadi aku uninstall tapi pas aku masukin no wa lama aku Mala gk bisa",1,negatif
Bintang 5,5,positif
"Setelah di update, video call sering terputus sendiri. Panggilan sering lag dan putus sendiri. Suara sering hilang sendiri. Tolong di perbaiki. bug sangat menggqnggu",1,negatif
Gjlsssss nungguin kode ya lama bgttttttttt,1,negatif
Bagussekali,5,positif
Mantap,5,positif
( Seoe kutr deuli daeri kuata nagak Redaik daes resil akui kaniko dary akka 😊 Allah SWT. toak gambah tagook sadau arakkkk yayyy😳 daeau heheh fay akak dafia dafa rark faol daba garol daea😀 fafa. Cintaku daf akao apeli daeedau jai tay seao akus mbta nk edamk hajajiii Allamahana 😊),5,positif
"Kenapa semua aplikasi hususnya wa harus update ulang terus menerus, sudah di update tetap tidak bisa dan di minta ke versi terbaru tetapi tetap saja tidak bisa di buka, aplikasinya makin parah banget...... !! apakah semua orang melek mata harus lihat HP supaya bisa selalu update.....NB: mohon dipertimbangkan kebijakannya karena tidak semua orang hari harinya tiap waktu selalu buka HP",1,negatif
Baik,5,positif
Aplikasi ter the best lah pokok nya,5,positif
Lumayan,4,positif
Napa ke restart mulu sih anjeng kontak gua ilang semua,1,negatif
Baik,5,positif
"Ini kenapa wa cuma smpe logo aja dah semenjak di download ulang tdi? Coba jelaskan, sy jdi ga bisa buka wa. Makin aneh aja",2,positif
Cukup lumayan untuk digunakan Sayangnya kalau menggunakan telp/vc kwalitas layar gambar masih telat sampai lawan suara & gambarnya.,3,netral
Download nya lama banget,1,negatif
Ys,5,positif
Bug sangat tidak nyaman,1,negatif
Siyal kuat lancar,5,positif
Sangat puas dengan adanya aplikasi WhatsApp,5,positif
Min tolong kembalikan WA seperti dulu (bisa ss foto 1x lihat) skrg gk bisa ss fto 1x lihat g enk bgt rasanya,1,negatif
I like,5,positif
Akun 5 tahun cuma buat chat sama bukak grub kenak blokir whatsapp alasan tidak jelas,3,netral
qà the a,1,negatif
"Next time mungkin harus ditingkatkan. Terutama Untuk Story Foto dan Video. Agar kualitasnya bisa jernih, kebanyakan foto dan video menjadi blur setelah diunggah",5,positif
Setelah diikuti ternyata hanya alusinasi belaka,1,negatif
Aplikasi ini bgs bgt buat kalian yg rmh yh jauh bisa telpon lewat aplikasi ini kalian hrs donlod,5,positif
"wa Nya sangat Bagus sekali tapi kalau melihat setatus orang kenapa ada roda berputar padahal kouta/pulsa masih banyak ya... Itu Saja Pembicaraan Saya Semoga Yang Membuat ""WA"" Sehat Selalu Terima Kasih Sampai Jumpa Lagi I 💗 LOVE YOU",3,netral
"Update malah tidak bisa unggah video,mohon di perbaiki,",5,positif
"Tiba"" kontak terhapus semua .. tolong di perjelas masalah nya apa dan bagaimana solusi nya , terimakasih",1,negatif
bagus,5,positif
Nomer WA gw di nonaktifkan secara sepihak.. 👎👎👎👎,1,negatif
Dsr ajing moyet setiap gabung lazda rusak bli yg mampu,4,positif
R7q,4,positif
WhatApp kualitasnya sudah bagus.,4,positif
