content,score
Ngesave nomer sendiri,1
Okokokok,5
Sangat Bagus,5
Siiip,5
"whatsap berakkkk, chatnyaa kehapuss sendirii anjenggggg",1
Kok aplikasi ya gak bisa di pasang,2
Tolong pihak WhatsApp di perbaiki lagi ini kok saya buat status entah itu video/foto kok hasilnya burik tolonglah diperbaiki,2
😃,5
Is the best⭐ edition👍limited,5
Setelah update Kenapa kalau videocall ketika di kecilin suka eror ga bisa di pindahin.. ?,1
Gk ada apa apa sih cuma pengen ngasih 1 bintang aja 👍,1
Bagus,5
"saya menunggu update-update selanjutnya, aplikasi ini memuaskan",5
Aku suka banget,5
Tidak bisa dijelaskan dengan kata2 Tapi cukup satu kata untuk apk WA ini BURUK,1
Keren,5
St,5
Apk nya bagus kualitas bagus pokok nya gitu deh 👍✨,5
WhatApp,1
Buruk,1
Mantapp sekali,5
Bagus,5
Toko,5
wek wek wew wew,5
Biasa aja,3
Sangat membantu untuk kecerdasan dan pengetahuan juga,5
Oktimis bgus,5
Kurang bagus,3
Sangat bagus haha,5
"Yg smua bilang WhatsApp itu jelek itu salah, WhatsApp itu sangat baguss karena itu saya kasih 5 bintang👍👍👍",5
Mantap,5
Udah diupdate kok kalo liat video story lma bgt loading trs tpi kalo buka story fto cpet tlong dperbaiki juga kalo lg vc kdng lyr ngleg ngga bsa dkeluarin,2
Andiiinggggg!!!,1
Jaringan susah kadang,4
Susah masuk daftar ga terima kode lewat sms malah harus nunggu 1 jam,1
WhatsApp is the best app in the world,5
Bagus,5
Ga bisa diupdate..kenapa ni,1
Berteman yg baik hati,5
Bgs,5
Aplikasi nya bagus😊,5
Aplikasinya bisa mehina teman,5
Baguss,5
Hahahaha,1
Anjer ga bisa liat story,1
"apaan sih gajelas banget tiba2 kerestart chat ilang semua, padahal jam 2 pagi selalu nyadangin otomatis. nih semua info2 penting jadinya ilang. gaada pemberitauan dulu tiba2 langsung kerestart aja. lancang banget nih sistemnya",1
Kasih bintang 🌟 3 aja dulu,3
Tdak bisa di akses,4
Kalo dibuat telfon suara e pelan☹️,1
sangat membantu,5
Ini sangat berguna untuk saya,5
"Mau post apa apa di story pada pecah,",1
Sangat nyaman,5
Saya,5
Sangat bagus,5
Uninstal lebih baik untuk menjaga darah biar nggak laik dri pd harus kena strok gegara setia dg aplikasi ini,1
Saya,5
Saya sangat suka dengn aplikasi whatsapp ini tapi ada satu yg kurang yaitu emoji/stiker nya mohon di perbaiki dan di perbanyak lagi ok Tapi yang lain saya suka ok,5
Oke,5
app terlalu sering update,5
Buat vc WhatsApp nya jadi eror,1
Ok,5
Pacaran,1
Mohon bantuannya kenapa akun watshap saya tiba tiba keluar dn saya GK bisa login,5
m. ..,4
WA terdebet sih,5
🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼🐼,5
Bagus banget AQ sukaaaaaaaaaaaaaaaaaaaaaaa,5
Tdk bisa upload gambar dan video dari hp,3
就 …个，一，已经 ：,1
WA memang bagus aku kasih bintang lima,5
Yhgg Inggris sejak dulu tiket ukur itu nya Ju Ju,5
Baik dan bagus,4
update lagi yang terbaru dong kenapa wa saya berkedip,1
Bagus,5
udh update malah error. apalagi sedang vc. video kita seperti terjeda padahal gk ngapa2in. tindak lanjutnya mohon d perbaiki,1
Gak bisa di gunain,1
Bergantung kok karo wa... Opo wa ki iso nylamatke koe ko siksa kubur....nylametke neng hari kebangkitan...tekan hari penimbangan amal apik lan amal olo... Tapi Gusti Allah SWT Maha Pengampun...Aminn Iku bagi kepercayaane seng agamane Islam Mboh nek agama liyo ngono po gak aku yo gak mudeng,1
Bagus,5
BISAA GAA FITUR SEKALI LIAT DIBALIKIN BISA DI SCREENSHOT LAGI??,1
𝐷𝑖𝑏,5
"Terima admin whatsapp, hp saya tidak bisa mengunakan whatsapp",5
Bantu watsapp,3
Mantaaappp,4
angel ddonlod,1
Ok..ok,5
iso wifi terus,5
Bagusssss😅,1
"Mau liat dlu hsil nya, baik atau smkin buruk, Krn mlihT yg lain byk yg kcewa",1
"Gk tau knp wa dihp saya benar benar lemot banget bukanya, ini tolong gimna ya,",1
Sangat memuaskan,5
Bermanfaat,5
Mantap,5
"Dicoba ya , mudah mudahan ngak ada hambatan...aamiin",5
Keren!!!!!!!!!!!!!!!!!!,5
bagus,5
Gak tau,4
Bagus,5
WhatsApp sangat bagus,5
jelek apalagi semenjak ada fitur sekali liat,1
Bagus,5
Hebat,5
bagus bngt,5
Aplikasi terbaik untuk komunikasi,5
Sangat baik,5
Oke,5
Ok,5
Sangat bagus,4
Whatsapp TDK berjalan mhn bantuan,5
Wa error tdk bisa di update atau di Download,2
WhatsApp sangat baik,5
Bagus,5
Harap bantu nya dong akun saya ke blokir bagi saya ituh penting harap bantu an nya,1
Saya suka whasap,5
Kenapa watsapp ku ga bisa di buka,5
Ok,1
Ko susah ya idsh daftar malah ga bisa masuk,1
Nuri lestari,5
"Tiba tiba WA ga bisa dibuka , parahh",1
Bagus,3
Cl li o 0 .0l 0uO lk uji BBM i i .ulu l untu mou7kmu h. Iyi Ok la k.,1
senang,5
"Kenapa akhir2 ini WA saya selalu bermasalah. "" AKUN INI TIDAK DIIZINKAN UNTUK MENGGUNAKAN WHATSAPP """,1
Sangata memuaskan Jika,4
Oke,4
Bagus,5
Ik,5
Baguss,4
Keren bisa kirim fto dan vidio WA emang keren 😎,5
Sangat berguna Buat masyarakat,5
Saya suka WA karna bisa hubungin keluargaku,4
Okeee,2
Link nya saya mau masuk🙏,5
Good,5
WhatsApp membuat banyak orang yang menyukai,3
Aplikasi yang mudah dan cepat di fahami dan terjangkau,5
Susah didonlowd,3
Bapak yanto 03 juni 2023.,5
enggak ada gunanya pembaruan,1
ok,1
Mantap,5
Cukup bagus,5
Seru,5
Sangat bagus loading nya ngak lama,5
Ok,4
O Apik,5
WhatsApp sangat buruk,1
"Setatus video suka berhenti ditengah, suara video kadang tidak sesuai dengan videonya.",2
Tidak jelas,1
Tolong pihak wa kalo saya upload video jgn di kompres cuk jadi buriq...dk enak buriq² apa lagi di sw jadi buriq...udh bner lah milih HD ehh di kompres vdeony,1
Bagus sih cuma klo mau update malah jadi ke hapus jadi ak kasih bintang 3 aj klo mau di update jangan ke hapus y 🙏 Terus klo mau liat vidio / foto jadi buram😔,3
"Tidak bisa mengirim voice note, sudah merekam suara tpi malah pas dikirim tidak muncul sudah di coba berkali kali namun ttp tidak bisa",1
Vidio z exx,5
Bagus banget bisa video call sama keluarga jadi aku kasi bintang 5 lima,5
Bagus bener whatsap ini.,5
yah,4
Mau Masuk grup Memuat Terus Ga bisa Bisa Hapus aja Lah Wa Kalo Buat Apk Tuh Yang bener,1
Sgt brguna,5
Bagus,5
Sangat baik👍👍,5
keren bolo,5
Aplikasi yang sangat membantu saya untuk bekerja melalui chatting dan video call,5
Kalok bisa di fitur tautkan perangkat bisa kirim status la,5
tiap tlpn mati terus,1
Bagus sekali,5
Bgs,5
apknya bagus,5
Aku suka dengan aplikasi ini aplikasi ini bisa untuk chatting dengan teman atau keluarga Anda Ayo download sekarang 😍😁😁😁,5
☺as😚😚😁😊😊😚😚😛😛😌😛😛😛😛😥😛😛😛😛😚dlfw'sol,5
Baik,5
ok,5
Bagus bgt 😍,5
😄😁😁😆😆😆😆,5
Jan nn ..... Jossss...... 👌👌👌👌🤭,4
Baik dan lancar,3
Kece badai,5
Tingkatkan lgi,5
Ok bro,1
Bagus,5
Jika ada panggilan jangan bisa dong merekam tangkapan layar,5
Baguusss banget vitur barunya juga oke,5
Ok berguna dan sangat penting saat ini untuk komunikasi,5
Good,5
Kieu weeee kumha deui,4
tolong dong bantu wa ny gak bisa diinstal,3
Setiap di buat telpon selalu nunggu beberapa detik dulu baru ada suaranya,1
Bagus banget,4
23 9 23,2
Aplikasi bikin rusuh aja,1
Aplikasini ini sangat bagus☺️👍,5
gak usah banya peraturanlah bikin repot aja,5
Aplikasi ini menurut saya bagus,4
Makin aneh,4
"pliss tlong kmbliin ss sekali liat lgi dong, susah buat ss foto pcr ak🤡🤡🤡",4
Keren,5
👌👌,2
Bagus,5
makin ke sini makin ngawur. tlp ke hp tmn padahal org nya di sebelah. di 1 jaringan yg sm. tp ga berdering ga masuk telp nya. cm memanggil,1
Parah lah setiap bikin status foto maupun video selalu pecah padahal udh di edit d stabilin tetep aja sama pecah tolong dong d perbaiki,2
Baik\,5
Jelek dalam Membaca file hp,1
Bagus sihh,4
Dengan,1
Sangat bagus 😎👍,5
Baik,5
sangat membantu,5
WhatsApphotandcool,5
Ok boleh,5
Bagus,5
Ya bahgus,5
Saya senang bisa berkomunikasi dengan aplikasi ini,1
"Vidio di setatus tidak bisa di putar dan kualitas nya buram, tetapi ada yg bikin sy suka karena setiap kita chat di grup di sebelah kiri/kanan ada gambar foto frofil kita .",2
makin burik,1
"Saya pengguna android, dan sangat sulit mengirim pesan ke pengguna iphone",1
hai km follow ig ku ya nanti ku follback @nunuksiii_,5
Kenapa ya foto dari wa tidak tersimpan di galeri ya?,1
"Kenapa ya ,tiap mau lihat sw yg kayak foto gitu fotony burem ,",2
Sangat membantu,5
Eh lengkap,4
Kecewa,2
Sangat menbantu,5
Saya suka aplikasi ini,1
aplikasinya bagus cuma kurang 1 dan cukup fatal bagi saya saya tidak suka fitur/bug foto/video sekali lihat jadi saya kasih bintang 1 tolong diperbaiki lagi ya dan diilangkan fitur/bug foto sekali lihat. terimakasih,1
WhatAPppp,4
"Halo whatsapp, terimakasih sdh sangat memudahkan pengguna dlm hal komunikasi. Saran saya sebaiknya tambahkan fitur grup terpisah dan tdk gabung dengan chat pribadi. Terimakasih 🙏🏻☺️",4
Sangat puas dgn pelayanannya,4
oke,5
KENAPA SAAT KITA SEDANG MEREKAM SUARA SUARA KITA MALAH JADI BEDA SAMA ASLINYA .... TERUS KALAU KITA SUDAH SAVE NOMKR ORANG KALAU KITA MAU GANTI NAMANYA SELALU NGELAG ...... NAH KALAU MENGIRIM FOTO/VIDEO BIASANYA BISA SEKALIGUS BANYAK KALAU INII JADI MALAH SATU PERSATU ......... PERASAAN WA MAKIN UPDATE MAKIN JELEK DEHHHHHHH🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕,1
Snack vidio tidak bisa dibuka,5
Yh,5
"Kenapa wa jadii gajelass bgni kalo tlfon/vc selalu matii sendiri terus kadang pass buka wa keluar sendiri,paling sering kalo tlfonan pasti selalu matii sendiri tolong segera diperbaiki dong. sangat² menggangu",1
"Histori pengeditan bersifat publik, Kecuali lika ulasandihapus. Pelaiari legit Ianiut",1
Baguss,5
Apk ny sudah jauh lebih bagus dan bnyk penambahan fitur-fitur baru yang lebih menarik untuk mempermudah penggunaannya,4
"Tolong beri fitur tambahan stiker di bagian download otomatis ,ga guna gua matiin semua kalo stiker tetap kedownload ,paketan gua cepet habis kalo gitu ceritanya",3
Lumayan,3
Terima kasih,5
Sangat bagus,5
1. Tidak bisa restore dari local backup. Hanya bisa restore dari google drive. Makanya aku kasih 1 bintang saja. 2. Lebih bagus lagi kalau bisa backup & restore hanya dari percakapan / group yang dipilih saja. 3. Lebih hebat lagi kalau bisa cloud based seperti telegram. Supaya tidak perlu pusing denban backup restore.,5
bgus,5
"Setelah melakukan update di aplikasi Whatsapp, aplikasi sya nge bug saat mau ambil gambar, dan tidak bisa melakukan pemotretan!!!! Mohon segera diperbaiki, saya sangat benci hal seperti ini.",1
Lumayann,4
Sangat membantu dan smua urusan dapat menjangkau biar jau,5
Mau Nya Saya Status Itu Bisa Bebas Tanpa 30dtik Jdi Saya Bisa Menggunakan Status Bebas,3
baik,5
Bagus tpi knp setiap tahun mesti update,4
Idibagus,5
Tiba photo di wa tidak bisa di dwonloud,2
"Apasii whatsapp... Kok akhir2 ini kita gbs liat Sw org, pdhl org itu ga privasi dan blok kita?? Anehh padahl hari ni shbt gw ultah lohhh",4
"Kan sekarang selalu tergantung sama wa apalagi anak sekolah, terus knapa wa nya selalu kadaluwarsa",1
Terima kasih untuk pengguna play store,5
Ok,5
WhatsApp Messeng...,5
Bagus sekali,5
Baik,1
Vidio selalu terjeda Dan suara terputus_putus,2
kenapa chat saya hilang semua ya.. tolong balikin .,1
sangat bagus sekali,4
I love it,5
Ngeleg wa nya,1
Kenapa apdep terus,1
Request fitur tag & repost kayak Ig bang,5
"Vidio atau foto di status wa kenapa jadi burem bgt sih tolong dong untuk pengembang aplikasi ini untuk status wa jangan di turunin kualitas nya di update bukan nya makin bagus malah makin jelek aja Padahal aslinya hd vid atau foto nya tapi setelah di kirim ke story malah jadi burem bgt bikin ga nyaman bgt pokoknya, buat pengembang aplikasi WhatsApp di perbaiki segera mengganggu bgt soalnya kalau mau bikin story",2
"Baru pake tablet saya kira akan seperti mobile.. ternyata seperti laptop, tidak bisa login langsung, harus scan barcode.. benar2 seperti laptop",3
Bagus afk nya,5
Bantu Unduh,5
Pas di update sangat lama sampai menghabiskan kuota 2 gb dan juga pas pengiriman foto/vidio selalu keluar sendiri karena apa bug bug sekali aplikasi ini,2
Ut,2
WhatsApp baru terimakasih,5
WhatsApp paling enak,5
Seru,5
Apk anj gw udah pake wa resmi tetep aja di suruh pake wa ori,1
Buruk sangatlah buruk tidak bisa masuk kode verifikasi sampai berhari-hari lamanya dan tidak ada solusi untuk masuk ke WhatsAppnya,1
goog,5
Fast respon,5
𝙺𝙴𝙽𝙰𝙿𝙰 𝚆𝙷𝙰𝚃𝚂𝙰𝙿𝙿 𝙼𝙰𝚃𝙸 𝚂𝙴𝙽𝙳𝙸𝚁𝙸 𝚃𝙴𝙻𝙴𝙿𝙾𝙽 𝙽𝚈𝙰 𝙺𝙰𝙻𝙾 𝙻𝙰𝙶𝙸 𝙼𝙰𝙸𝙽 𝙶𝙰𝙼𝙴 𝚃𝙰𝚁𝙸 𝙳𝙰𝙳𝙸 𝙵𝙰𝚀𝙸𝙷 𝚃𝙸𝙳𝙰𝙺 𝙿𝙴𝙽𝙲𝙴𝚃 𝙰𝙿𝙰𝙿𝙰,1
jelek serimg ngebug,1
"Nyesal kali ku update bagus yg kek sebelomnya,di update bukan tambah oke malah makin tah cemana mana jdinya,biasanya masukkan sw vidio g prna pecahh hasilnya,lahh ini semenjak di update buruk",1
Kenapa whatsapp tu keluar sendiri lepas nelfon orang kok bisa keluar sendiri aku gak pencet keluar aneh whatsapp gak guna,1
The best,5
indah,5
Bagus n simpel menggunakannya apk yg sangat memudahkan di zaman skrg,5
Mantap,5
keren,5
Rp sama di all need tuh on WIB or si yg Si UN ini tak,5
di update makin gajelas,1
Bagus,5
salam semu,1
Knapa watsap saya sering terblokir saya sudah sering ganti ganti kartu untuk memulih kan nya malah sama saja,1
Whatsapp sangat membantu buat saya tuk menghubung keluarga dan kèrabat.,5
Makasih,1
Good for all,5
Di bekel padamaan Rm2S# 46,5
Tolong dibantuin,5
Bagus,5
Dapat membantu komunikasi dengan keluarga jauh,3
Dah Berguna Ya Bang,5
Kenapa emot org pelukan warnanya abu2 sama biru ?,5
Kode Verifikasi susah di dapat padahal butuh bgt buat kerjaan.,1
Oi min tambahkan vitur baru kayak story WhatsApp atau status tambahin durasi nya kayak 40 dtk atau 60 dtk biar saya merasa puas saat membuat story WhatsApp gitu saran aja kalo boleh hehehehe,5
permainan nya bagus menarik banget bagus suka lagi di jamin kalian suka deh,5
"WhatsApp tolong perbaiki lebih bagus lagi kalo pesannya di tarik sebelum dibaca udah aja jangan ninggalin jejak dong ( pesan di tarik) kecuali emang sudah dibaca gppa ninggalin jejak juga , dan kalo upload status jangan buram",4
kembalikan fitur sekali lihat yang bisa discreenshot!!!,2
Makasi WhatsApp telah update biar tidak error' lagi saat melihat tulisan wa.me/settings,5
Saya mau nanya apk nya kan sudah saya update tapi kok gk ada yg berubah ya??,3
Bagus lebih cepat mengakses berita,5
"Sekarang klo vc trus diminimize gtu malah kek kedip"" trus jd 3/4 layar gtu vcnya. Susah klo mau minimize. Trus klo kirim dokumen harus satu"" jd lama trus ga efisien juga",3
sangat bagus,5
Bagus sekali,5
Lumayan,2
sekarang WhatsApp banyak bug nya,2
Ok,5
"Kenapa terlalu mudah untuk di bajak, sedangkan nomor telepon kita yang memakai",3
Bagus,4
ok ok okl,4
Kenapa saya tdk bisa menginstal aplikasi nya,2
Whatsapp bisa di bakai,5
A Non v CNN w USB yes w taro w f free. V,1
aplikasi no 1,5
Whatsapp saya tiba tiba keluar dan tidak bisa login kembali mohon bantuan nya,1
Bagus,3
Semoga bagus kawan kawan,3
Oke!!!!,5
Sangat bagus,5
muat ulang waee beres di ufgret teh,2
Mantp,5
Izlha,5
"Di update terus, tapi kualitas sw-nya masih buruk gak ada perubahan.",3
"Knpa watshap sekarang minta update, tapi ga bisa di update, muter² kayak gasing... hadeuuuh",1
Bagus,5
Bagus,4
"semakin lama ini aplikasi kualitasnya semakin menurun. biar jaringan bagus,tpi saat video call masih patah2. buram, lag. klu di update yah diperbaiki. bukan malah tambah hancur",2
Bagus,4
1w2w2,1
Mantap,5
Salam sujses... Aplikasi ini sangat membantu komunikasi saya dengan para pelanggan saya di tempat jahit. Begitupun dengan keluarga di tempat yang jauh..,5
Habis pembaruan malah akun terblokir permanen padahal tidak melakukan spam,2
Siiippppp mantap,5
Sangat penting di untuk berkomunikasi,5
Pokok nya bagus deh aplikasi whatsAPP,5
Aplikasi terbaik sepanjang masa,2
Kualitas foto dan video menjadi sangat menurun ketika membuat status.,1
Good,5
Tidak sesuai,1
"ini kenapa ya , kalo buka vn layarnya mati ..",3
000000000000000000000000000000999999999999999999999999999999999999888888888888888888888888888888888888777777777777777777777777777777777777777766666666666666666666666666666666666655555555555555555555555555555555555544444444444⁴444444444444444444444333333333333333¾33333333333333333332222222222222222222222222222²22222221111111111111111111111111111111111111111111111111111,5
Good,5
"komang arjuna whatsapp tdk bisa di pake,terus disuruh verifikasi,tapi tdk dikasi nomer verifikasinya",5
Akun ini tidak dapat menggunakan whatsapp,1
"Kenapa harus ada fitur foto sekali lihat? Jadinya kan pacar aku kirim foto sekali liat teruss, mohon kerjasamanya",1
MIN TOLONG BUKAK AKUN SAYA YG TERKENA SPAM ITU ADA URUSAN PENTING TOLONG BUKA AKU YG TERKENA SPAM,1
abdillah,1
"Saya Tidak dapat verivikasi nmr saya ,mohon bantuannya",5
"Em lumayan sih tapi sering ngebad , tapi okelah bisa video call bareng saudara",5
Statusnya di whatsapp tdk bisa di lihat lagi,4
👍👎👍,3
Lumayan,5
Alhamdulillah,5
Sangat cocok untuk semua orang,5
Mantap men,5
Jelek soal nya update trusss,1
Mitta bapa,5
Karena bagus sekali waa ini,5
THANKS U MARK,4
Ok,4
Wa burik,5
Pokoknya ini baguss,5
Sangan baik,5
Hebat,5
"Aku sudah update tapi TDK bisa, jadi aku uninstall tapi pas aku masukin no wa lama aku Mala gk bisa",1
Bintang 5,5
"Setelah di update, video call sering terputus sendiri. Panggilan sering lag dan putus sendiri. Suara sering hilang sendiri. Tolong di perbaiki. bug sangat menggqnggu",1
Gjlsssss nungguin kode ya lama bgttttttttt,1
Bagussekali,5
Mantap,5
( Seoe kutr deuli daeri kuata nagak Redaik daes resil akui kaniko dary akka 😊 Allah SWT. toak gambah tagook sadau arakkkk yayyy😳 daeau heheh fay akak dafia dafa rark faol daba garol daea😀 fafa. Cintaku daf akao apeli daeedau jai tay seao akus mbta nk edamk hajajiii Allamahana 😊),5
"Kenapa semua aplikasi hususnya wa harus update ulang terus menerus, sudah di update tetap tidak bisa dan di minta ke versi terbaru tetapi tetap saja tidak bisa di buka, aplikasinya makin parah banget...... !! apakah semua orang melek mata harus lihat HP supaya bisa selalu update.....NB: mohon dipertimbangkan kebijakannya karena tidak semua orang hari harinya tiap waktu selalu buka HP",1
Baik,5
Aplikasi ter the best lah pokok nya,5
Lumayan,4
Napa ke restart mulu sih anjeng kontak gua ilang semua,1
Baik,5
"Ini kenapa wa cuma smpe logo aja dah semenjak di download ulang tdi? Coba jelaskan, sy jdi ga bisa buka wa. Makin aneh aja",2
Cukup lumayan untuk digunakan Sayangnya kalau menggunakan telp/vc kwalitas layar gambar masih telat sampai lawan suara & gambarnya.,3
Download nya lama banget,1
Ys,5
Bug sangat tidak nyaman,1
Siyal kuat lancar,5
Sangat puas dengan adanya aplikasi WhatsApp,5
Min tolong kembalikan WA seperti dulu (bisa ss foto 1x lihat) skrg gk bisa ss fto 1x lihat g enk bgt rasanya,1
I like,5
Akun 5 tahun cuma buat chat sama bukak grub kenak blokir whatsapp alasan tidak jelas,3
qà the a,1
"Next time mungkin harus ditingkatkan. Terutama Untuk Story Foto dan Video. Agar kualitasnya bisa jernih, kebanyakan foto dan video menjadi blur setelah diunggah",5
Setelah diikuti ternyata hanya alusinasi belaka,1
Aplikasi ini bgs bgt buat kalian yg rmh yh jauh bisa telpon lewat aplikasi ini kalian hrs donlod,5
"wa Nya sangat Bagus sekali tapi kalau melihat setatus orang kenapa ada roda berputar padahal kouta/pulsa masih banyak ya... Itu Saja Pembicaraan Saya Semoga Yang Membuat ""WA"" Sehat Selalu Terima Kasih Sampai Jumpa Lagi I 💗 LOVE YOU",3
"Update malah tidak bisa unggah video,mohon di perbaiki,",5
"Tiba"" kontak terhapus semua .. tolong di perjelas masalah nya apa dan bagaimana solusi nya , terimakasih",1
bagus,5
Nomer WA gw di nonaktifkan secara sepihak.. 👎👎👎👎,1
Dsr ajing moyet setiap gabung lazda rusak bli yg mampu,4
R7q,4
WhatApp kualitasnya sudah bagus.,4
"Sinyal susah,belum dapat no verifikasi",4
Aplikasi ini sangat berguna Dan penting,5
Bagus,5
Bagus untuk berkomunikasi,5
🙏🙏🙏,4
Mantap,5
tra sesuai dengan iklan,5
terbaik,5
Membantu saya,5
Tdikk,5
sangat membantu,5
Bagus jernih,4
Cepat dapat respon nya,5
"Kenapa WhatsApp saya klok bikin story' video sekarang ngebelur , Terus susah kasih filter , Mohon di perbaiki",5
Baguufcvvc,2
Sangat bagus,5
"Sangat bagus dan membantu.,.terima kasih",5
Keluar sndiri anjjg,1
bagus,3
"Kalau bisa, temanya dibikin kayak fitur iPhone dong Min😁",4
Sangat bermanfaat,5
Nuraeni,2
Bagus,5
Bermanfaat,5
Sangat bagus apknya,5
knp tdk l jutkan?,5
Mantappppp,4
sangat membantu memudahkan pekerjaan,5
AlFihidayah,2
bagus,4
Fuokkkk qp jangan salah satu pusing bodoh ulang 😠😠😠😠,1
Kenapa tidak bisa vc,2
Nice,5
what App mantap,5
Ok,4
Kok whatsapp nya tdk bisa di instal,1
Oke,3
Menyenangkan,5
Ditingkatkan lagi,4
Kaya tai update mulu mmk,1
Mantap 👍,5
Like,5
Yg sediktkendala jaringan Indosat ditmpt kami,4
Baru,5
Bagus,5
Aplikasi yg sangat membantu,4
Whatshaap memang oke,5
Tolong dong status video / foto di kasih pilihan(HD/MD/LD),2
Mantap,5
Menjual sayur Dan ayam,5
kenapa akun saya dibanned.saya sudah download whatsapp di playstore kenapa akun saya masih di blokir. Kalau gak mau kembalikan nomer whatsapp saya harus ada dari pihak whatsapp yang tanggung jawab atau kasih saya uang atau suruh hapus whatsapp di playstore daripada ngrugikan pengunanya😡,1
Driver travel Lintas sumba,5
Mantap,5
Akon dan gkat anda.,5
Untuk fersi yg lws,5
"Update mulu, perubahannya(yg diupdate) gk seberapa",3
"makin ga bagus ya?? padahal baru daftar no ko tiba tiba langsung keblokir ya,gimana nih admin WhatsApp,sumpah enek banget asli wa sekarang aneh",1
Bagus,5
yezz,5
Sangat membantu,5
Makin hari makin jelek Sekarang whatsApp mau simpan Poto pun susah tolong di tingkatkan lagi,2
Aplikasi yg menarik,5
Kenapa aku kasih 3 kamunayak,3
😪,2
Makin lama makin jelek aja,3
Good,5
Sulit di instal,5
Mantaf,5
"Nggak ngapa-ngapain tiba tiba diblokir,apk rusak",1
Bagus cepat dan memuaskan,3
Sangat bagus,5
Epepeowpwpwlwlbnajsjsjd8sgsbenmsosidhenene di dalam rumah dari Styrofoam bisnis pernak perniknya to save aku tidak akan bisa lengserkan di dunia yang,5
Membantu untuk berkomunikasi jarak jauh,5
Aplikasi,1
"Tlvn saya jadi eror, klw mw angkat tlvn harus pakai lod speaker dulu biar keluar suaranya, trs mw share loc juga eror, tolong pembenahannya",1
"Whatsapp ko tampilannya buat jenuh ,,tidak ada perubahan,,dri pitur2nya memvosan kn makanya banyak yg pindah ke aplikasi pihak ke 3",3
Memuaskan,5
Sangat tidak memuaskan,1
Sqngat membantu,5
Tdk bjsa di download,5
bagus jangan di hapus WhatsApp ya,5
Bagus,5
Setelah update di saat vidio call memasuki mode gambar-dalam-gambar terjadi bug yang membuat vidio berkedip dan tidak bisa di geser untuk beberapa saat,2
Sangat bagus aplikasi nya,5
Bagus,5
Saya menyukai nya,5
Kamu nanya,5
"WHATSAPP SEMENJAK DI UPDATE JADI GAADA NOTIF TELPON, KALO ADA YANG NELPON RIBET HARUS BUKA APK NYA DULU, balikin ke stelan yang dulu😤",2
"eror banget ya WA makin di update makin eror, tidak bisa memakai filter di status wa banyak bug nya, ada² aja makin kesini makin aneh hadehh",2
bagus,5
Bagus sekali,5
oke,5
Bagus sangat membantu dalam berkomunikasi,5
Oke,5
Karna tidak bisa melihat story,1
Update status video jarang berhasil,1
Manfaat,5
sangat membatu untuk empromasi,5
Mantap👍,5
Tiap bulan suruh update terus. Mengganggu sekali.lebih baik sekali setahun aja update,1
mantap,5
Trina kasih telah memperbaharui WA ku.,5
Mantap,5
Bagus,5
gimana caranyah pake walffaper,5
Malah makin buruk,1
Ajojing ala ala ajojing😆😗asek😆😆😆,5
Whatssap tolong gmn cara memperbaiki atau pembaruan dr whatssap agar bisa d buka kembali karna sangat penting sekali.harap d permudah dan jangan malah d buat sulit kami. Memakai whatsaap sangat penting.,2
Merbarui,5
ok,4
Ok,4
Di update malah jadi lemot sdh di otak atik sama saja,2
Bagus dan baik,5
Aplikasiiiiiiiiiiiiiiiiya sangat baguss,5
Good,5
cok kakean di update ae asu!!! poseng aku,4
Sangat bobrok,1
Sangat cocok untuk semua kalangan,5
No coment,5
sangat membantu,5
Setelah di update status video tidak bisa di putar... Tolong Perbaiki lagi seperti dulu,2
"Baguss bngt😊, Tpi Jgn kadaluwarsa ya,, yg pnya akun WA sendiri🙄😌",5
Terkadang lelet,2
Bagus,5
Siip,5
Tidak bisa wa nya,5
"Semua udah ok si, bagus,💜 Tapi kalo bisa tambahkan fitur musik dong kalo mau bikin SW. Hahah itu aja si . Terimakasih",4
🤣🤣🤣,5
Sangat membatu sekali,5
Pisahkan kolom chat grup dan chat pribadi,1
Kok mikrofon nya GK bisa dipakai tolonglah sayaa masih tergantung dengan itu,3
Ruwet,1
Ok,1
Ok,4
Satu aja dulu klo bagus baru 5 bintang 🌟,1
Mantap,5
Kenapa. Gak bisa uabedet,5
Sangat membantu dlm berkomunikasi,5
Coba dulu kalau lbh bagus dr sblmnya aku tambah jadi 100 bintang,1
Sering lemot,3
"Bagus sekali tapi suka anah""",1
Ini sangat berguna,5
"Lolot ni wa skrng klo lagi telp suka menghubungkan padahal jaringan stabil, udah gitu klo abis menghubungkan telp nya mati pas di telp ulang menhubungkan lagi gak bisa di angkat",1
Memuaskan,5
Kenapa ga bisa di Download?????,1
Mempererat persaudaraan dan kekeluargaan,2
Bagus 👍👍,5
Oke,5
"ngeleg banget,pas vid call kalo di kecilin nge bug,,msh enk yg dulu asli,ga enk bgt makenya skrng",1
Apdet y lama bisa gak tolong di cepetin unduhan y,1
